0.01,47
0.011,24
0.012,20
0.013,47
0.014,40
0.015,140
0.016,149
0.017,143
0.018,151
0.019,152
0.02,126
0.021,153
0.022,137
0.023,167
0.024,168
0.025,294
0.026,261
0.027,244
0.028,242
0.029,258
0.03,247
0.031,270
0.032,258
0.033,266
0.034,274
0.035,343
0.036,322
0.037,308
0.038,330
0.039,314
0.04,313
0.041,316
0.042,337
0.043,306
0.044,340
0.045,368
0.046,351
0.047,373
0.048,363
0.049,360
0.05,377
0.051,383
0.052,371
0.053,375
0.054,375
0.055,378
0.056,400
0.057,376
0.058,378
0.059,383
0.06,380
0.061,391
0.062,352
0.063,366
0.064,389
0.065,383
0.066,392
0.067,384
0.068,397
0.069,393
0.07,386
0.071,396
0.072,390
0.073,400
0.074,370
0.075,398
0.076,391
0.077,392
0.078,386
0.079,424
0.08,382
0.081,401
0.082,402
0.083,395
0.084,380
0.085,395
0.086,390
0.087,402
0.088,386
0.089,404
0.09,402
0.091,404
0.092,394
0.093,402
0.094,391
0.095,413
0.096,434
0.097,413
0.098,410
0.099,442
0.1,419
0.101,387
0.102,395
0.103,415
0.104,406
0.105,432
0.106,402
0.107,415
0.108,418
0.109,428
0.11,402
0.111,417
0.112,416
0.113,428
0.114,416
0.115,426
0.116,431
0.117,430
0.118,417
0.119,435
0.12,426
0.121,401
0.122,415
0.123,424
0.124,421
0.125,430
0.126,427
0.127,421
0.128,424
0.129,444
0.13,429
0.131,433
0.132,445
0.133,445
0.134,422
0.135,448
0.136,461
0.137,443
0.138,449
0.139,452
0.14,437
0.141,437
0.142,432
0.143,444
0.144,448
0.145,452
0.146,457
0.147,450
0.148,443
0.149,433
0.15,454
0.151,465
0.152,458
0.153,425
0.154,460
0.155,459
0.156,466
0.157,464
0.158,456
0.159,455
0.16,449
0.161,463
0.162,461
0.163,461
0.164,468
0.165,445
0.166,459
0.167,473
0.168,472
0.169,497
0.17,476
0.171,486
0.172,477
0.173,487
0.174,469
0.175,469
0.176,469
0.177,487
0.178,464
0.179,486
0.18,480
0.181,459
0.182,475
0.183,488
0.184,472
0.185,483
0.186,490
0.187,513
0.188,488
0.189,482
0.19,486
0.191,466
0.192,493
0.193,496
0.194,477
0.195,483
0.196,498
0.197,495
0.198,517
0.199,499
0.2,478
0.201,494
0.202,488
0.203,502
0.204,486
0.205,515
0.206,513
0.207,493
0.208,496
0.209,508
0.21,489
0.211,504
0.212,505
0.213,515
0.214,500
0.215,520
0.216,513
0.217,507
0.218,509
0.219,525
0.22,506
0.221,507
0.222,506
0.223,522
0.224,520
0.225,504
0.226,515
0.227,533
0.228,510
0.229,518
0.23,512
0.231,503
0.232,534
0.233,523
0.234,522
0.235,526
0.236,526
0.237,528
0.238,526
0.239,528
0.24,536
0.241,530
0.242,523
0.243,537
0.244,529
0.245,531
0.246,538
0.247,539
0.248,549
0.249,544
0.25,533
0.251,536
0.252,542
0.253,550
0.254,541
0.255,544
0.256,534
0.257,542
0.258,554
0.259,554
0.26,546
0.261,546
0.262,542
0.263,550
0.264,533
0.265,549
0.266,557
0.267,550
0.268,543
0.269,554
0.27,551
0.271,549
0.272,550
0.273,554
0.274,552
0.275,560
0.276,540
0.277,550
0.278,560
0.279,570
0.28,564
0.281,555
0.282,565
0.283,554
0.284,571
0.285,570
0.286,576
0.287,565
0.288,562
0.289,567
0.29,561
0.291,566
0.292,569
0.293,574
0.294,572
0.295,572
0.296,572
0.297,576
0.298,582
0.299,566
0.3,568
0.301,578
0.302,571
0.303,581
0.304,575
0.305,571
0.306,579
0.307,579
0.308,576
0.309,576
0.31,574
0.311,576
0.312,567
0.313,572
0.314,574
0.315,571
0.316,577
0.317,582
0.318,576
0.319,574
0.32,575
0.321,568
0.322,572
0.323,581
0.324,575
0.325,572
0.326,576
0.327,567
0.328,581
0.329,571
0.33,577
0.331,576
0.332,577
0.333,574
0.334,571
0.335,576
0.336,576
0.337,579
0.338,575
0.339,575
0.34,579
0.341,578
0.342,576
0.343,574
0.344,571
0.345,575
0.346,575
0.347,572
0.348,573
0.349,577
0.35,580
0.351,572
0.352,579
0.353,577
0.354,579
0.355,574
0.356,579
0.357,572
0.358,579
0.359,574
0.36,576
0.361,575
0.362,579
0.363,575
0.364,580
0.365,581
0.366,576
0.367,578
0.368,576
0.369,572
0.37,571
0.371,581
0.372,579
0.373,576
0.374,575
0.375,577
0.376,579
0.377,575
0.378,567
0.379,578
0.38,575
0.381,576
0.382,573
0.383,570
0.384,573
0.385,574
0.386,575
0.387,574
0.388,573
0.389,573
0.39,575
0.391,574
0.392,577
0.393,578
0.394,576
0.395,572
0.396,569
0.397,569
0.398,579
0.399,579
0.4,579
0.401,577
0.402,573
0.403,574
0.404,574
0.405,576
0.406,582
0.407,579
0.408,578
0.409,570
0.41,574
0.411,574
0.412,570
0.413,579
0.414,573
0.415,573
0.416,574
0.417,573
0.418,576
0.419,575
0.42,576
0.421,577
0.422,575
0.423,575
0.424,576
0.425,577
0.426,578
0.427,579
0.428,580
0.429,578
0.43,578
0.431,577
0.432,580
0.433,579
0.434,572
0.435,578
0.436,577
0.437,579
0.438,573
0.439,574
0.44,574
0.441,577
0.442,573
0.443,571
0.444,579
0.445,581
0.446,581
0.447,583
0.448,578
0.449,575
0.45,574
0.451,578
0.452,572
0.453,578
0.454,579
0.455,576
0.456,572
0.457,578
0.458,572
0.459,572
0.46,575
0.461,579
0.462,576
0.463,577
0.464,580
0.465,578
0.466,577
0.467,576
0.468,579
0.469,573
0.47,574
0.471,578
0.472,575
0.473,572
0.474,576
0.475,576
0.476,577
0.477,573
0.478,578
0.479,577
0.48,580
0.481,579
0.482,575
0.483,579
0.484,577
0.485,576
0.486,576
0.487,580
0.488,580
0.489,577
0.49,578
0.491,577
0.492,576
0.493,582
0.494,574
0.495,576
0.496,576
0.497,574
0.498,579
0.499,577
